BranchPredictor,fetchWidth,numFetchBufferEntries,numRasEntries,maxBrCount,decodeWidth,numRobEntries,numIntPhysRegisters,memIssueWidth,memIssueWidth,numLdqEntries,enablePrefetching,enableSFBOpt,numRXQEntries,numRCQEntries,nL2TLBEntries,nL2TLBWays,nICacheWays,nICacheTLBWays,nDCacheWays,nDCacheMSHRs,nDCacheTLBWays,CPI,Power,Area
0,0,3,1,1,3,0,3,1,3,3,1,0,1,0,2,1,1,2,2,1,1,1.061509073,19.10911,6300650.773
0,1,1,1,2,4,4,0,0,2,2,1,0,1,0,2,0,0,1,1,2,1,1.180477171,19.88321,5833763.56
0,1,1,1,2,2,2,4,1,2,1,0,1,2,0,1,0,2,0,0,0,2,0.956815553,19.71809,6060971.684
0,1,0,0,3,1,0,1,0,1,2,0,0,2,1,1,0,2,2,2,1,1,1.026221802,15.72927,5615616.283
0,1,3,1,0,2,2,1,1,2,3,1,0,0,0,1,3,1,0,1,2,2,0.936657865,16.80414,5915560.992
2,0,5,0,3,2,2,4,1,2,2,1,0,0,0,2,3,1,2,2,0,2,1.148248858,18.299566,6282052.804
0,0,1,0,1,0,4,0,1,0,2,1,0,1,1,2,0,0,1,1,0,0,1.401077795,11.443967,5159980.956
0,0,3,2,3,2,2,1,0,1,3,0,0,1,2,0,0,0,0,1,0,2,1.098117853,15.34142,5258763.954
1,1,5,0,0,1,2,1,0,0,0,0,1,0,1,2,3,1,0,0,0,1,1.19592587,16.480637,5520575.891
0,1,2,0,2,3,0,1,1,1,1,1,0,2,0,2,2,1,2,2,1,2,0.983951461,17.90853,6186434.513
0,1,1,0,0,2,2,1,1,2,3,1,1,1,0,0,2,2,0,0,0,2,0.961026921,16.44256,5809018.079
0,1,1,1,2,2,2,4,0,2,2,1,0,1,0,1,3,0,2,0,0,0,0.979642945,21.78268,5652879.333
1,0,4,0,3,0,2,3,0,0,3,1,0,1,2,0,3,1,2,0,1,2,1.393944948,15.594011,5286125.397
0,1,3,0,2,4,4,3,1,1,1,0,1,0,0,3,0,0,2,2,1,2,0.894531499,21.98616,6560126.854
1,1,5,2,2,1,2,3,0,1,0,1,0,2,1,2,0,2,1,2,0,0,1.0451198,19.758733,6065729.198
0,0,3,0,3,2,2,3,0,2,3,0,1,1,0,2,2,2,2,2,2,0,1.037796057,18.86541,5921515.955
0,1,1,2,1,3,2,4,1,1,0,0,0,2,0,2,3,1,2,1,1,1,1.044997672,16.572456,6087938.487
0,1,2,1,3,4,4,2,0,2,3,1,1,2,0,1,3,0,2,0,0,1,0.96214368,19.690373,5976850.323
0,0,2,1,1,3,1,2,1,3,3,0,0,0,1,2,0,2,1,1,2,1,1.050191718,17.63542,6197461.255
1,1,2,2,2,3,0,0,1,3,0,1,0,2,2,1,2,1,0,0,2,2,1.089328975,22.273384,6245327.387
1,0,2,1,0,1,2,2,0,0,1,1,0,1,2,3,1,0,2,2,0,0,1.106505545,14.36909,5324162.536
1,1,2,2,0,1,1,3,0,1,1,1,0,1,0,2,3,1,0,2,2,1,0.941059298,23.64631,6000997.943
0,1,4,0,2,3,0,1,0,3,2,1,0,0,0,1,0,0,2,0,1,1,1.068319244,17.81647,5596596.284
0,1,3,1,0,1,1,2,1,1,0,1,1,0,1,2,0,1,2,0,1,0,1.097182806,13.539554,5521186.045
2,0,1,1,0,2,2,0,0,1,2,1,0,2,1,1,0,1,0,1,1,0,1.318152742,12.88379,5151580.99
0,1,1,2,3,4,4,2,0,2,2,0,1,2,2,3,1,1,2,2,2,1,0.921096892,22.1961,6332929.295
0,1,4,2,1,3,0,4,0,1,3,1,0,0,1,1,2,2,1,0,0,0,1.083978637,17.10599,5782870.281
0,1,5,1,0,4,4,0,1,1,2,0,1,0,0,3,2,1,1,2,1,2,1.15303019,17.158056,6311518.03
2,0,0,2,0,2,2,4,0,2,1,0,1,0,2,3,2,2,2,1,1,1,1.180375941,15.48514,5583634.777
2,0,3,2,0,3,3,2,1,0,2,1,0,0,2,0,3,1,2,2,1,1,1.222304203,16.84436,6006199.993
2,1,0,2,0,1,0,2,0,0,3,0,1,1,1,1,3,2,2,0,2,0,1.25388301,15.0394,5469020.185
0,0,4,1,2,1,4,3,1,1,3,0,0,0,0,2,2,2,2,1,1,0,1.078642563,16.62943,5857312.295
0,0,5,1,2,2,2,4,1,2,2,0,1,0,1,0,3,0,1,1,0,1,1.022450884,17.63973,5852341.182
2,0,3,1,3,1,3,3,1,1,1,0,1,1,1,3,1,1,2,2,0,2,1.167736765,16.738104,6008352.709
2,0,3,2,3,2,2,0,1,1,2,1,1,1,0,0,1,0,1,2,0,2,1.250037382,17.23221,5832215.422
0,0,4,0,0,3,0,0,0,0,1,1,0,1,0,2,1,0,0,1,1,2,1.335195496,12.223196,5074847.456
0,1,5,0,2,4,4,2,1,2,2,1,1,1,1,1,2,0,0,0,1,2,0.902334951,20.84867,6136856.181
2,1,1,0,1,4,4,1,0,2,1,0,1,1,2,3,1,2,1,1,2,2,1.092188976,20.41265,6047003.311
2,0,3,0,0,2,2,1,0,2,3,1,1,2,2,0,0,1,1,0,2,2,1.245599802,14.64373,5310878.749
2,0,5,2,3,3,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,2,1.196497453,16.136008,5722920.179
1,1,0,0,2,0,1,4,1,0,0,0,0,1,1,0,0,2,0,1,0,0,1.355791056,19.37346,6051423.39
0,1,3,0,1,0,0,3,0,0,3,0,0,1,0,0,0,2,0,0,2,0,1.383514042,13.559351,5426884.211
1,1,2,2,0,4,4,3,1,4,1,0,1,2,2,1,1,0,0,2,0,1,0.763309695,27.55994,6874446.16
1,1,4,1,3,4,4,2,0,3,2,0,1,2,0,2,0,0,0,0,0,1,0.876050879,26.154155,6299622.839
0,1,1,2,3,1,2,4,0,1,1,1,0,1,2,3,2,0,1,1,2,1,1.005359568,18.39386,5650607.08
2,1,0,0,0,3,0,1,1,3,3,0,1,1,2,3,2,0,2,1,2,2,1.087095504,18.913817,6174789.835
2,0,0,0,0,1,2,4,0,1,3,0,1,2,0,3,0,0,1,2,0,2,1.1942285,14.07291,5360877.1
0,1,0,2,0,0,4,3,0,0,0,0,1,2,0,1,3,1,2,1,1,0,1.385103967,11.815669,5195667.527
1,0,5,0,1,2,2,2,1,0,3,0,1,2,1,2,3,0,2,2,1,2,1.039523686,18.98402,6115519.468
0,0,5,0,3,0,4,2,0,0,0,0,1,0,1,3,0,1,1,1,1,1,1.407861721,11.453077,5068878.092
2,0,5,1,1,0,4,1,1,0,1,0,0,2,0,3,1,0,0,1,2,0,1.460433642,13.341831,5432413.801
0,0,4,0,2,0,4,4,0,0,0,1,0,1,1,1,3,1,2,0,0,1,1.47241077,11.517832,4944308.805
0,1,3,1,2,4,4,3,0,3,1,1,0,2,0,1,1,0,2,0,2,0,0.992796304,18.916884,6006979.45
1,1,1,0,2,4,4,0,1,2,1,0,0,0,1,2,1,0,0,0,1,2,1.109182106,22.984444,6322191.592
2,0,0,2,2,3,3,3,1,3,0,0,0,1,2,0,3,2,0,1,2,0,1.286074516,19.43823,6205400.364
0,1,1,1,0,4,4,2,0,3,2,1,1,0,1,0,0,1,1,1,2,2,0.932702437,19.17294,5967462.127
1,0,5,1,2,3,2,0,1,2,1,1,1,2,0,3,1,2,2,2,2,2,1.041528527,20.99562,6479938.522
0,1,3,0,3,4,4,4,0,0,2,1,0,0,2,2,0,0,1,0,0,0,1.124725245,19.29356,5808979.843
0,1,1,0,1,0,1,3,0,0,3,1,1,2,2,1,0,2,1,1,1,2,1.363085713,14.285123,5358733.08
1,1,1,0,3,1,2,2,0,1,2,1,1,2,2,2,1,0,1,2,1,0,0.913033556,21.19349,5954837.486
1,1,5,2,0,1,3,4,1,1,3,1,0,1,1,0,1,0,0,0,2,0,0.926110028,22.08126,6141278.167
0,0,1,1,2,2,2,3,1,2,0,1,0,0,0,2,0,2,2,0,2,1,1.191955411,15.437938,5797162.852
0,1,4,2,3,1,4,3,1,1,0,1,1,0,2,1,3,1,2,1,1,2,1.061699869,15.735022,5870141.915
1,1,5,1,1,4,4,0,0,0,1,0,1,2,0,3,1,0,0,0,0,0,1.259863436,19.879063,5887856.81
0,0,2,1,0,0,4,2,1,0,2,1,1,0,0,1,1,1,1,2,1,0,1.371819709,14.40924,5593774.087
2,0,1,0,1,1,0,0,1,1,2,1,0,0,0,2,1,0,2,0,2,0,1.335252156,12.759521,5287099.724
1,0,5,1,0,3,2,1,0,0,0,1,1,2,1,1,3,2,1,2,0,0,1.146269648,14.234258,5603891.273
2,0,5,1,2,2,2,1,1,2,2,0,1,1,0,3,0,1,1,1,2,1,1.163660732,18.27692,5862538.338
1,1,4,1,1,0,1,0,0,0,3,0,1,0,0,3,3,2,0,1,1,0,1.338121207,18.47642,5727335.064
1,0,3,1,3,0,4,2,0,0,1,1,0,2,2,2,2,0,1,1,2,1,1.350350312,16.131146,5291710.949
1,1,2,0,2,4,4,2,1,4,0,0,0,2,0,2,0,0,0,2,2,2,0.912182844,29.14889,7000832.705
1,1,1,2,2,3,2,3,0,1,1,0,1,0,0,2,0,2,0,0,1,0,0.91579065,23.33108,6205994.051
1,0,5,1,3,3,3,1,0,2,2,0,1,2,2,0,2,0,1,0,0,2,1.007066454,18.9484,5635074.744
0,1,4,2,3,4,4,1,0,0,3,1,0,1,1,1,0,0,2,1,2,0,1.125136429,17.422485,5936882.458
2,0,3,2,3,1,0,2,1,0,3,1,1,2,2,1,0,1,0,1,1,0,1.252710838,15.36376,5593649.638
0,1,1,1,1,0,2,3,1,0,1,1,1,1,2,0,3,1,0,2,1,2,1.360069821,14.710803,5943799.304
2,0,2,1,3,0,2,0,0,0,2,1,0,0,0,1,2,2,1,2,2,1,1.465700715,12.825378,5341742.646
1,0,3,0,3,0,2,2,0,0,3,1,0,0,0,1,2,2,0,2,2,0,1.337911763,16.693218,5623075.18
0,0,0,0,3,3,0,4,1,0,0,1,1,0,0,2,0,1,0,0,2,1,1.340991681,17.185932,5781691.999
0,0,4,2,0,0,4,0,0,0,0,1,1,2,2,0,0,2,1,2,2,1,1.395721708,11.568927,5155573.256
0,0,2,2,1,0,4,1,0,0,3,0,1,2,2,0,2,0,2,0,2,1,1.422339243,12.62097,4935701.009
1,1,3,2,1,1,2,2,0,1,2,1,1,1,1,2,1,2,0,1,1,0,0.917321127,18.832712,5937581.93
0,1,3,1,3,2,2,2,0,2,2,0,1,2,1,3,1,2,2,1,1,1,0.934216813,17.796753,5901386.203
1,1,3,2,0,1,1,3,0,1,1,0,0,1,2,0,1,2,0,0,0,1,0.988582455,19.52964,5810581.53
0,0,3,0,1,2,2,1,1,1,0,0,0,1,1,1,2,0,1,0,1,2,1.201570333,14.24594,5311326.137
0,1,0,0,2,0,0,4,1,0,3,1,0,0,1,2,1,0,2,0,1,2,1.381038976,13.650841,5532536.541
1,1,5,0,2,3,1,3,0,3,2,0,1,1,0,2,0,2,0,2,2,0,0.837202684,26.331002,6762865.693
2,0,2,0,3,3,3,3,1,0,3,1,1,0,2,1,2,1,2,0,0,1,1.267467853,18.31127,5919943.514
1,1,1,2,2,4,4,1,1,2,3,0,0,2,0,1,3,1,1,2,1,1,0.830312546,26.57042,6889395.742
1,1,5,2,1,3,2,2,0,1,2,0,0,2,2,1,3,1,0,1,0,0,0.891372507,20.44348,6084782.998
0,1,1,0,2,3,0,2,1,1,3,1,0,0,0,2,3,2,0,0,2,0,1.040570687,17.542148,6227353.559
0,1,1,0,0,2,2,4,1,0,3,1,1,0,2,1,0,0,1,2,1,0,1.052919558,17.08398,6150218.869
1,1,3,2,3,2,2,1,1,2,0,1,1,0,1,3,1,0,2,0,1,2,0.965979682,24.63538,6148498.943
2,0,5,1,3,1,3,4,0,1,0,1,1,1,2,2,0,0,1,2,2,2,1.271969626,18.82776,5570135.655
0,0,4,0,2,0,1,1,0,0,2,1,0,2,2,2,0,2,2,2,0,1,1.392299929,11.625509,5196469.757
