BranchPredictor,fetchWidth,numFetchBufferEntries,numRasEntries,maxBrCount,decodeWidth,numRobEntries,numIntPhysRegisters,memIssueWidth,memIssueWidth,numLdqEntries,enablePrefetching,enableSFBOpt,numRXQEntries,numRCQEntries,nL2TLBEntries,nL2TLBWays,nICacheWays,nICacheTLBWays,nDCacheWays,nDCacheMSHRs,nDCacheTLBWays,CPI,Power,Area,,,
0,0,2,2,2,1,0,4,0,1,3,0,0,2,0,1,0,1,0,1,2,2,1.125847497,14.097846,5379660.574,84,0.802086325,9589.346931
0,0,4,2,0,0,0,4,1,0,1,0,0,2,0,0,2,0,0,1,1,1,1.395101295,12.158642,5234535.784,84,0.861573351,5687.111196
0,0,2,0,1,0,2,0,1,0,0,0,0,0,0,3,1,1,0,1,0,1,1.418462425,12.171815,5249246.313,82,0.870222041,5051.823213
0,1,3,1,0,2,2,0,0,2,1,1,1,1,0,3,2,2,1,2,0,1,1.078132528,19.64284,5787013.187,81,0.872331439,7803.523282
0,0,4,2,1,2,2,3,0,2,1,0,0,1,2,2,2,1,2,2,2,1,1.069339773,19.89056,5663541.587,80,0.866472821,8133.22774
0,1,1,0,0,4,4,2,1,1,2,1,0,1,2,2,1,0,0,2,2,0,0.903457533,18.454934,6410472.362,79,0.829654918,15781.62633
0,1,5,1,0,3,0,4,1,0,1,0,1,1,0,3,2,2,1,0,1,2,1.136540399,15.997948,6068540.247,79,0.861447055,7935.027763
0,1,1,0,2,1,4,3,0,1,1,0,0,0,0,1,2,2,0,0,0,0,1.043811287,16.82382,5556417.926,78,0.815971829,6080.215945
0,0,3,0,2,0,1,2,0,0,2,0,0,1,1,1,0,1,0,1,2,2,1.397573333,14.84696,5112759.393,76,0.88889275,7706.716331
0,1,4,1,1,1,3,4,1,1,3,0,1,2,2,0,2,1,0,1,1,0,0.941403175,21.98591,6073365.815,76,0.8686268,24535.51737
0,1,5,0,1,3,0,3,0,1,1,1,1,2,1,3,3,2,2,0,0,1,1.056883364,15.567782,5777032.05,75,0.815782384,6583.320013
0,1,2,1,1,0,2,4,0,0,3,1,1,0,2,1,0,0,2,1,2,2,1.361923425,13.748262,5350379.856,74,0.875169115,8002.796647
0,1,1,1,0,1,4,1,0,1,3,1,0,0,2,0,3,0,1,2,1,0,0.995905811,16.85572,5542351.836,73,0.79971668,6424.222594
0,1,1,1,1,1,3,3,1,1,1,1,1,0,1,3,0,1,1,1,1,2,0.959496979,15.531973,5871515.872,72,0.787413345,5963.385335
0,0,1,1,3,3,2,1,0,2,0,0,1,0,0,3,1,2,0,0,2,2,1.197844516,17.519941,5684217.436,71,0.881794787,6375.909331
0,0,2,2,1,0,3,3,0,0,0,1,0,0,1,1,2,0,1,2,2,2,1.405344501,14.3098,5218427.915,71,0.890080943,5617.671243
0,1,3,1,3,3,2,0,0,0,3,1,1,2,0,1,3,2,0,1,2,0,1.22500083,17.343398,5912604.513,70,0.89964877,14062.29754
0,0,4,2,3,0,2,3,1,0,3,0,0,1,0,1,0,1,2,2,1,2,1.383021795,19.30197,5917658.169,68,0.976105436,7581.965006
0,1,4,2,1,1,3,4,0,1,2,1,1,1,0,1,2,1,1,1,0,2,0.97130957,15.012194,5609461.299,68,0.772567227,8473.850867
0,1,3,2,0,1,4,3,0,1,2,0,1,1,1,0,2,1,1,1,1,2,0.969237893,14.068446,5453371.514,66,0.7530649,6027.18532
0,1,3,1,1,4,4,4,1,1,3,1,1,2,1,3,3,1,0,0,2,1,0.902440702,20.04775,6405004.847,64,0.848206974,30643.77071
0,0,3,0,1,2,2,4,1,1,2,0,1,2,0,2,1,0,0,1,2,2,1.024481975,15.589693,5821242.653,62,0.807364577,7772.711567
0,1,0,2,1,0,3,3,0,0,3,1,0,1,0,0,3,1,2,0,2,1,1.382085832,13.291052,5318972.157,62,0.874893368,6184.206792
0,1,3,1,3,2,2,4,1,2,1,0,0,0,0,2,1,1,1,1,2,0,0.922000099,20.021607,6260442.285,61,0.847497528,8886.62384
0,0,4,0,1,0,4,3,0,0,2,1,0,2,0,0,1,1,1,2,0,2,1.392303803,11.861134,5151374.725,60,0.853092036,5734.770213
0,1,4,1,0,0,0,3,0,0,2,0,1,2,1,3,1,0,0,2,2,0,1.362322509,13.07518,5386154.635,60,0.868925329,6850.235828
0,0,0,2,2,2,2,0,1,0,1,1,0,0,0,3,3,0,0,0,1,1,1.293332109,18.59422,5425508.39,59,0.914163761,6909.264675
0,0,2,1,3,1,0,1,0,1,2,0,1,1,1,2,2,0,2,0,0,1,1.162897411,13.252976,5024492.26,59,0.787294531,6682.312608
0,0,1,1,3,3,1,2,0,0,0,1,0,2,2,3,3,0,0,1,0,2,1.250463286,14.288785,5358305.28,58,0.844901119,5948.99598
0,0,3,2,1,3,3,3,0,0,2,1,1,2,2,2,1,0,0,2,0,1,1.138717898,14.859182,5577368.433,58,0.824992651,8564.450752
0,0,4,1,3,3,2,2,0,2,0,1,0,2,2,2,0,0,0,1,1,1,1.214549033,16.096299,5486447.955,58,0.860790637,6844.528859
0,1,3,0,1,2,2,1,1,2,3,1,1,1,1,1,2,1,2,0,2,0,0.955058001,24.14138,6047137.222,57,0.89784159,25168.08688
0,0,0,0,3,0,2,2,0,0,2,0,0,0,1,0,1,2,2,2,0,0,1.386401429,15.41571,5304007.282,56,0.901160557,7138.629323
0,0,1,2,1,0,0,2,0,0,3,1,0,2,1,3,2,2,1,0,1,2,1.435257374,12.035753,5082526.316,56,0.866215674,7027.821201
0,0,3,2,3,0,0,1,0,0,1,1,1,2,2,3,2,2,2,2,0,1,1.374629968,14.32235,5240264.722,56,0.881043572,6507.020223
0,1,0,2,2,1,4,1,0,0,0,0,0,2,0,2,2,0,2,0,1,2,1.246129134,13.115857,5220739.02,56,0.822775721,5145.234269
0,1,5,0,3,4,4,1,1,4,2,1,1,1,0,0,1,0,0,2,2,0,0.90106631,22.517134,6754979.722,56,0.894179554,16852.46319
0,0,5,2,3,0,0,2,0,0,0,1,1,0,2,1,1,2,2,1,2,1,1.408396021,11.538201,5158049.254,55,0.854894203,4368.503012
0,1,4,0,1,3,0,1,0,3,2,0,0,2,0,0,3,1,0,0,1,2,1.069762803,16.223101,5609054.598,54,0.819924108,8472.302001
0,0,1,0,2,0,2,3,1,0,0,0,0,1,2,0,0,0,1,0,0,1,1.471664761,14.0338,5174644.191,53,0.906778418,5456.584177
0,1,5,1,1,0,4,0,0,0,3,0,1,0,1,3,0,0,0,1,1,2,1.368152918,12.502129,5233418.556,53,0.856675596,7364.266862
0,0,5,0,1,0,4,0,0,0,0,1,0,0,1,2,2,1,1,1,1,2,1.427764296,12.85607,4972573.309,51,0.868322342,5473.952603
0,1,5,1,3,1,2,2,0,1,1,1,1,2,1,2,2,0,2,1,2,1,0.983383242,19.6432,5688083.619,51,0.83603188,7161.874285
0,0,0,1,2,3,3,1,0,1,3,0,1,0,0,2,0,0,0,2,1,1,1.084207613,16.080824,5628614.686,50,0.823965308,13049.19466
0,1,0,0,0,1,1,4,0,1,3,1,1,2,0,3,3,2,1,0,1,0,1.008082886,18.04163,5664378.076,50,0.823876575,7266.550834
0,1,1,1,1,4,4,3,0,4,0,1,1,0,0,1,3,1,2,2,2,2,1.021313214,19.480431,6255146.11,49,0.8738435,8598.235272
0,0,3,1,2,2,2,2,1,2,3,0,1,2,2,3,2,2,1,2,1,1,1.006006622,24.79666,6399534.767,48,0.939561021,26404.16599
0,1,2,1,0,1,0,4,0,1,3,0,0,0,0,3,2,2,0,0,2,1,1.072293119,14.901965,5646694.696,46,0.80668851,6920.835456
0,1,3,2,1,3,1,4,0,3,3,1,0,1,2,2,1,2,2,1,0,2,0.960200638,19.431626,6139257.337,46,0.847345695,13674.38369
0,1,1,1,0,2,2,3,0,2,1,1,1,1,1,1,2,0,0,1,0,2,0.955290586,14.723379,5462737.408,45,0.756745427,6107.111392
0,1,4,0,1,2,2,2,0,0,1,0,0,0,2,2,3,0,2,1,1,0,1.117972927,18.57085,5468249.118,45,0.857485555,6720.240203
0,1,5,2,0,2,2,4,0,2,2,0,1,0,1,3,0,1,1,2,0,1,0.920800524,22.05277,5854317.657,45,0.852095449,11324.38386
0,0,1,1,0,1,4,4,1,1,3,1,0,2,1,2,0,1,1,0,2,0,1.117552016,19.7797,5733961.111,44,0.884588981,23639.72586
0,0,5,2,3,1,4,1,1,1,0,1,1,0,0,3,2,1,1,2,0,1,1.116068598,18.1296,5835200.663,44,0.869099806,6612.392811
0,1,4,0,3,3,2,1,1,3,1,1,1,1,1,1,1,2,1,2,0,2,0.910726114,20.109319,6523517.762,44,0.857385218,8587.148421
0,1,4,1,2,0,4,2,0,0,0,0,1,0,2,2,0,1,2,1,1,0,1.384863062,13.338957,5325651.125,44,0.876721284,4902.892622
0,1,5,0,1,0,1,2,0,0,0,1,1,2,0,2,3,1,2,1,0,2,1.384559082,15.16459,5187892.174,44,0.891978071,6336.310058
0,1,5,2,3,1,2,0,1,1,3,0,1,1,0,2,0,1,1,1,1,1,1.074376708,16.772552,5828636.095,44,0.838575396,18231.18704
0,0,5,2,3,2,2,4,0,2,2,0,0,0,2,0,3,1,0,0,0,2,1.138125655,22.51142,5536459.816,43,0.91484,10649.75382
0,1,2,2,2,2,2,1,1,0,0,1,0,1,2,3,1,0,0,1,2,1,1.167374605,16.241336,5762541.143,42,0.860024637,6151.250896
0,1,4,0,2,2,2,1,1,2,1,0,0,1,2,2,2,1,0,1,2,2,0.943644913,17.868383,5972565.838,42,0.815062533,8346.960155
0,1,4,2,1,0,0,1,1,0,1,1,0,2,0,1,1,2,0,1,0,2,1.370953608,16.45846,5596720.782,42,0.922555738,7477.348008
0,1,4,1,1,4,4,1,1,4,2,0,1,0,1,1,2,2,2,0,1,0,0.953862947,20.020018,6301643.535,41,0.860077279,15731.62495
0,0,1,1,3,2,2,3,1,2,3,0,1,0,0,3,2,1,0,2,2,0,1.006222742,27.83715,6481756.153,40,0.980122946,27168.62554
0,1,5,0,1,2,2,0,1,2,2,0,0,1,2,3,1,0,0,0,1,2,1.110222592,21.71131,5756301.96,40,0.90643874,12253.59783
0,0,4,2,3,0,4,3,1,0,1,0,1,2,0,0,2,1,1,2,1,0,1.379731622,13.394832,5719702.107,38,0.894535455,5566.823904
0,1,4,2,3,0,2,2,1,0,3,1,1,0,2,0,0,1,0,1,2,1,1.360121196,15.838237,5806378.95,38,0.921520219,13021.49635
0,1,5,0,3,0,2,3,0,0,0,0,1,0,2,0,2,2,2,2,1,0,1.382130416,13.731316,5539674.108,38,0.890768518,5404.588232
0,1,5,1,1,2,2,3,0,1,2,0,0,0,1,3,3,1,2,0,1,2,0.9859341,16.78795,5584243.064,38,0.797595228,8040.06994
0,1,1,0,0,0,4,4,1,0,2,0,0,1,1,3,0,0,2,0,0,0,1.382057463,17.04632,5539422.769,36,0.930586523,10855.18923
